Data_Ground,GPM,Bulan_Tahun
-309969.0,-309969.0,1977-01
-279972.0,-279972.0,1977-02
-309969.0,-309969.0,1977-03
-299970.0,-299970.0,1977-04
-309969.0,-309969.0,1977-05
-299970.0,-299970.0,1977-06
-309969.0,-309969.0,1977-07
-309969.0,-309969.0,1977-08
-299970.0,-299970.0,1977-09
-309969.0,-309969.0,1977-10
-299970.0,-299970.0,1977-11
-309969.0,-309969.0,1977-12
-309969.0,-309969.0,1978-01
-279972.0,-279972.0,1978-02
-309969.0,-309969.0,1978-03
-299970.0,-299970.0,1978-04
-309969.0,-309969.0,1978-05
-299970.0,-299970.0,1978-06
-309969.0,-309969.0,1978-07
-309969.0,-309969.0,1978-08
-299970.0,-299970.0,1978-09
-309969.0,-309969.0,1978-10
-299970.0,-299970.0,1978-11
-309969.0,-309969.0,1978-12
-309969.0,-309969.0,1979-01
-279972.0,-279972.0,1979-02
-309969.0,-309969.0,1979-03
-299970.0,-299970.0,1979-04
-309969.0,-309969.0,1979-05
-299970.0,-299970.0,1979-06
-309969.0,-309969.0,1979-07
-309969.0,-309969.0,1979-08
-299970.0,-299970.0,1979-09
-309969.0,-309969.0,1979-10
-299970.0,-299970.0,1979-11
-309969.0,-309969.0,1979-12
-309969.0,-309969.0,1980-01
-289971.0,-289971.0,1980-02
-309969.0,-309969.0,1980-03
-299970.0,-299970.0,1980-04
-309969.0,-309969.0,1980-05
-299970.0,-299970.0,1980-06
-309969.0,-309969.0,1980-07
-309969.0,-309969.0,1980-08
-299970.0,-299970.0,1980-09
-309969.0,-309969.0,1980-10
-299970.0,-299970.0,1980-11
-309969.0,-309969.0,1980-12
-309969.0,-309969.0,1981-01
-279972.0,-279972.0,1981-02
-309969.0,-309969.0,1981-03
-299970.0,-299970.0,1981-04
-309969.0,-309969.0,1981-05
-299970.0,-299970.0,1981-06
-309969.0,-309969.0,1981-07
-309969.0,-309969.0,1981-08
-299970.0,-299970.0,1981-09
-309969.0,-309969.0,1981-10
-299970.0,-299970.0,1981-11
-309969.0,-309969.0,1981-12
-309969.0,-309969.0,1982-01
-279972.0,-279972.0,1982-02
-309969.0,-309969.0,1982-03
-299970.0,-299970.0,1982-04
-309969.0,-309969.0,1982-05
-299970.0,-299970.0,1982-06
-309969.0,-309969.0,1982-07
-309969.0,-309969.0,1982-08
-299970.0,-299970.0,1982-09
-309969.0,-309969.0,1982-10
-299970.0,-299970.0,1982-11
-309969.0,-309969.0,1982-12
-309969.0,-309969.0,1983-01
-279972.0,-279972.0,1983-02
-309969.0,-309969.0,1983-03
-299970.0,-299970.0,1983-04
-309969.0,-309969.0,1983-05
-299970.0,-299970.0,1983-06
-309969.0,-309969.0,1983-07
-309969.0,-309969.0,1983-08
-299970.0,-299970.0,1983-09
-309969.0,-309969.0,1983-10
-299970.0,-299970.0,1983-11
-309969.0,-309969.0,1983-12
-309969.0,-309969.0,1984-01
-289971.0,-289971.0,1984-02
-309969.0,-309969.0,1984-03
-299970.0,-299970.0,1984-04
-309969.0,-309969.0,1984-05
-299970.0,-299970.0,1984-06
-309969.0,-309969.0,1984-07
-309969.0,-309969.0,1984-08
-299970.0,-299970.0,1984-09
-309969.0,-309969.0,1984-10
