Ground_Data,Satelite
73.41548746,103.0247092
77.32895289,117.9719182
118.107189,129.3216326
119.2319821,144.6326657
133.2693656,144.6884851
135.1344061,154.3897034
136.2970588,156.6109849
138.4133986,158.2723518
139.3848202,158.8517448
141.6123409,165.5039576
145.2011292,174.6428522
151.924036,183.8805837
161.2431007,186.3436575
166.6452526,187.4088375
169.0457317,189.7772042
174.314867,195.306697
178.6974237,196.7038337
182.831429,198.1756487
184.6432086,206.1025535
186.6265622,207.3991328
193.7235584,219.970817
200.6469911,220.7489848
207.9092638,227.2570721
215.6935854,234.1271251
219.0821272,236.2433753
220.8337528,237.3448964
223.8662097,240.3379448
224.2978845,242.2177025
243.4930978,242.7818845
247.135412,242.9081148
251.446613,243.8046665
260.7783963,244.4577741
261.7066591,253.5359626
265.9003096,265.8299952
269.0801766,270.4347856
283.394575,283.6864203
288.2373151,283.7418955
301.8953,290.067176
315.1865102,292.0441875
335.3184491,305.77569
341.5672181,319.1992567
359.8407061,335.4163397
371.8101582,341.5078808
391.5202492,344.2010462
397.1261355,355.7758965
408.4669818,377.4447656
413.7243001,380.3413862
418.4611669,416.4438021
